`# time, f
3.401700850425212593e+03,-2.046098037894457378e-01
3.421710855427713796e+03,-2.046158201351084838e-01
3.441720860430215453e+03,-2.046218065047510637e-01
3.461730865432716200e+03,-2.046277764139375899e-01
3.481740870435217403e+03,-2.046337416835465883e-01
3.501750875437719060e+03,-2.046397130468444181e-01
3.521760880440219807e+03,-2.046457005321720424e-01
3.541770885442721465e+03,-2.046517137444665846e-01
3.561780890445222667e+03,-2.046577620964207533e-01
3.581790895447724324e+03,-2.046638550066227358e-01
3.601800900450225072e+03,-2.046700020660941755e-01
3.621810905452726274e+03,-2.046762131680624208e-01
3.641820910455227931e+03,-2.046824985948385023e-01
3.661830915457728679e+03,-2.046888690581608050e-01
3.681840920460229881e+03,-2.046953356937760149e-01
3.701850925462731539e+03,-2.047019100160505367e-01
3.721860930465232741e+03,-2.047086038424666687e-01
3.741870935467733943e+03,-2.047154291986932328e-01
3.761880940470235146e+03,-2.047223982097647887e-01
3.781890945472736348e+03,-2.047295229697523589e-01
3.801900950475237551e+03,-2.047368153621457187e-01
3.821910955477738753e+03,-2.047442867822295842e-01
3.841920960480240410e+03,-2.047519477036583158e-01
3.861930965482741158e+03,-2.047598070525482039e-01
3.881940970485242360e+03,-2.047678714230558306e-01
3.901950975487744017e+03,-2.047761442937817145e-01
3.921960980490245220e+03,-2.047846255459000175e-01
3.941970985492746422e+03,-2.047933116392072761e-01
3.961980990495247624e+03,-2.048021966551044071e-01
3.981990995497748827e+03,-2.048112740714354563e-01
4.002001000500250029e+03,-2.048205387963743240e-01
4.022011005502751232e+03,-2.048299889039047195e-01
4.042021010505252889e+03,-2.048396267203360932e-01
4.062031015507754091e+03,-2.048494592175026940e-01
4.082041020510254839e+03,-2.048594978695477131e-01
4.102051025512756496e+03,-2.048697581718262883e-01
4.122061030515257698e+03,-2.048802589686797015e-01
4.142071035517758901e+03,-2.048910216808087215e-01
4.162081040520260103e+03,-2.049020695191360597e-01
4.182091045522761306e+03,-2.049134268268135717e-01
4.202101050525262508e+03,-2.049251187496469451e-01
4.222111055527763710e+03,-2.049371713902169989e-01
4.242121060530264913e+03,-2.049496123626899091e-01
